Link,Name,IATA,ICAO,Location,Latitude,Longitude
https://en.wikipedia.org/wiki/Bassatine_Air_Base,Bassatine Air Base[1],MEK,GMFM,"Meknes, Morocco",33.879100799560554,-5.515120029449463
https://en.wikipedia.org/wiki/Melbourne_Airport,Melbourne Airport,MEL,YMML,"Melbourne, Victoria, Australia",-37.67333333333333,144.84333333333333
https://en.wikipedia.org/wiki/Memphis_International_Airport,Memphis International Airport,MEM,KMEM,"Memphis, Tennessee, United States",35.0425,-89.97666666666667
https://en.wikipedia.org/w/index.php?title=Brenoux_Airport&action=edit&redlink=1,Brenoux Airport,MEN,LFNB,"Mende, Languedoc-Roussillon, France",44.502102,3.5328199999999996
https://en.wikipedia.org/wiki/Dare_County_Regional_Airport,Dare County Regional Airport (FAA: MQI),MEO,KMQI,"Manteo, North Carolina, United States",35.91888888888889,-75.69555555555556
https://en.wikipedia.org/wiki/Mersing_Airport,Mersing Airport,MEP,WMAU,"Mersing, Johor, Malaysia",2.3833333333333333,103.85944444444443
https://en.wikipedia.org/wiki/Cut_Nyak_Dhien_Airport,Cut Nyak Dhien Airport,MEQ,WITC,"Meulaboh, Indonesia",4.043716666666667,96.25083611111111
https://en.wikipedia.org/wiki/Castle_Airport,Castle Airport,MER,KMER,"Merced, California, United States",37.38055555555555,-120.56805555555555
https://en.wikipedia.org/wiki/Soewondo_Air_Force_Base,Soewondo Air Force Base,MES,WIMK,"Medan, Indonesia",3.559167,98.671111
https://en.wikipedia.org/w/index.php?title=Moreton_Airport&action=edit&redlink=1,Moreton Airport,MET,YMOT,"Moreton, Queensland, Australia",,
https://en.wikipedia.org/wiki/Monte_Dourado_Airport,Serra do Areão Airport,MEU,SBMD,"Monte Dourado, Pará, Brazil",-0.8897222222222222,-52.602222222222224
https://en.wikipedia.org/wiki/Minden%E2%80%93Tahoe_Airport,Minden–Tahoe Airport,MEV,KMEV,"Minden, Nevada, United States",39.00083333333333,-119.75194444444445
https://en.wikipedia.org/wiki/Mweka_Airport,Mweka Airport,MEW,FZVM,"Mweka, Democratic Republic of the Congo",-4.8549999999999995,21.541666666666668
https://en.wikipedia.org/wiki/Mexico_City_International_Airport,Mexico City International Airport,MEX,MMMX,"Mexico City, Mexico",19.43611111111111,-99.07194444444444
https://en.wikipedia.org/wiki/Meghauli_Airport,Meghauli Airport,MEY,VNMG,"Meghauli, Nepal",27.577222222222222,84.22888888888889
https://en.wikipedia.org/w/index.php?title=Messina_Airport&action=edit&redlink=1,Messina Airport,MEZ,FAMS,"Messina, South Africa",,
